country;symbol;name;full_name;isin;currency;asset_type
;GEN;DAOstack;DAOstack;;USD;crypto
;PLR;Pillar;Pillar;;USD;crypto
;COV;Covesting;Covesting;;USD;crypto
;CV;carVertical;carVertical;;USD;crypto
;QBIT;Qubitica;Qubitica;;USD;crypto
;SMART;SmartCash;SmartCash;;USD;crypto
;BURST;Burst;Burst;;USD;crypto
;SXDT;Spectre.ai Dividend Token;Spectre.ai Dividend Token;;USD;crypto
;TEN;Tokenomy;Tokenomy;;USD;crypto
;SPC;SpaceChain;SpaceChain;;USD;crypto
;UCA;UCA Coin;UCA Coin;;USD;crypto
;PART;Particl;Particl;;USD;crypto
;MOBI;Mobius;Mobius;;USD;crypto
;WINGS;Wings;Wings;;USD;crypto
;CNN;Content Neutrality Network;Content Neutrality Network;;USD;crypto
;EBTC;eBitcoin;eBitcoin;;USD;crypto
;FTC;Feathercoin;Feathercoin;;USD;crypto
;AEON;Aeon;Aeon;;USD;crypto
;LBTC;Lightning Bitcoin;Lightning Bitcoin;;USD;crypto
;VIBE;VIBE;VIBE;;USD;crypto
;OPCT;Opacity;Opacity;;USD;crypto
;CPC;CPChain;CPChain;;USD;crypto
;POT;PotCoin;PotCoin;;USD;crypto
;TAU;Lamden;Lamden;;USD;crypto
;MYST;Mysterium;Mysterium;;USD;crypto
;NLG;Gulden;Gulden;;USD;crypto
;SKM;Skrumble Network;Skrumble Network;;USD;crypto
;CREDO;Credo;Credo;;USD;crypto
;MTC;DOC.COM;DOC.COM;;USD;crypto
;ERC20;ERC20;ERC20;;USD;crypto
;EKT;EDUCare;EDUCare;;USD;crypto
;GTC;Game.com;Game.com;;USD;crypto
;REM;Remme;Remme;;USD;crypto
;SNC;SunContract;SunContract;;USD;crypto
;LBA;Cred;Cred;;USD;crypto
;INT;INT;INT;;USD;crypto
;XMY;Myriad;Myriad;;USD;crypto
;IOC;I/O Coin;I/O Coin;;USD;crypto
;BOX;ContentBox;ContentBox;;USD;crypto
;LDOGE;LiteDoge;LiteDoge;;USD;crypto
;IVY;Ivy;Ivy;;USD;crypto
;CAPP;Cappasity;Cappasity;;USD;crypto
;LCC;Litecoin Cash;Litecoin Cash;;USD;crypto
;SWM;Swarm;Swarm;;USD;crypto
;DEX;DEX;DEX;;USD;crypto
;AXPR;AXPR;AXPR;;USD;crypto
;DAT;Datum;Datum;;USD;crypto
;INVC;Investcoin;Investcoin;;USD;crypto
;VEX;Vexanium;Vexanium;;USD;crypto
;PING;CryptoPing;CryptoPing;;USD;crypto
;DTEP;DECOIN;DECOIN;;USD;crypto
;CRW;Crown;Crown;;USD;crypto
;AAC;Acute Angle Cloud;Acute Angle Cloud;;USD;crypto
;CHAT;ChatCoin;ChatCoin;;USD;crypto
;BITG;BitGreen;BitGreen;;USD;crypto
;YEE;YEE;YEE;;USD;crypto
;OMNI;Omni;Omni;;USD;crypto
;BLK;BlackCoin;BlackCoin;;USD;crypto
;TOA;ToaCoin;ToaCoin;;USD;crypto
;EXRN;EXRNchain;EXRNchain;;USD;crypto
;KICK;KickToken;KickToken;;USD;crypto
;GRC;Gridcoin;Gridcoin;;USD;crypto
;QUN;QunQun;QunQun;;USD;crypto
;OK;OKCash;OKCash;;USD;crypto
;CANN;CannabisCoin;CannabisCoin;;USD;crypto
;DAX;DAEX;DAEX;;USD;crypto
;DMG;DMM: Governance;DMM: Governance;;USD;crypto
;AUTO;Cube;Cube;;USD;crypto
;PLT;Add.xyz;Add.xyz;;USD;crypto
;SUB;Substratum;Substratum;;USD;crypto
;PINK;Pinkcoin;Pinkcoin;;USD;crypto
;ACAT;Alphacat;Alphacat;;USD;crypto
;COT;CoTrader;CoTrader;;USD;crypto
;BCV;BitCapitalVendor;BitCapitalVendor;;USD;crypto
;ONION;DeepOnion;DeepOnion;;USD;crypto
;NVC;Novacoin;Novacoin;;USD;crypto
;XPM;Primecoin;Primecoin;;USD;crypto
;RNT;OneRoot Network;OneRoot Network;;USD;crypto
;TSL;Energo;Energo;;USD;crypto
;MTN;Medicalchain;Medicalchain;;USD;crypto
;XRL;Rialto;Rialto;;USD;crypto
;TNT;Tierion;Tierion;;USD;crypto
;VRC;VeriCoin;VeriCoin;;USD;crypto
;BTCZ;BitcoinZ;BitcoinZ;;USD;crypto
;ENG;Enigma;Enigma;;USD;crypto
;WISH;MyWish;MyWish;;USD;crypto
;BMC;Blackmoon;Blackmoon;;USD;crypto
;PTOY;Patientory;Patientory;;USD;crypto
;BRZE;Breezecoin;Breezecoin;;USD;crypto
;BASH;LuckChain;LuckChain;;USD;crypto
;QRK;Quark;Quark;;USD;crypto
;PASC;Pascal;Pascal;;USD;crypto
;PLA;Plair;Plair;;USD;crypto
;CURE;Curecoin;Curecoin;;USD;crypto
;MGO;MobileGo;MobileGo;;USD;crypto
;D;Denarius;Denarius;;USD;crypto
;DIME;Dimecoin;Dimecoin;;USD;crypto
;IHT;IHT Real Estate Protocol;IHT Real Estate Protocol;;USD;crypto
;CBT;CommerceBlock;CommerceBlock;;USD;crypto
;USNBT;NuBits;NuBits;;USD;crypto
;EXP;Expanse;Expanse;;USD;crypto
;ENT;Eternity;Eternity;;USD;crypto
;AIDOC;AI Doctor;AI Doctor;;USD;crypto
;THC;HempCoin;HempCoin;;USD;crypto
;XHI;HiCoin;HiCoin;;USD;crypto
;CEEK;CEEK VR;CEEK VR;;USD;crypto
;ZCL;ZClassic;ZClassic;;USD;crypto
;TX;TransferCoin;TransferCoin;;USD;crypto
;LUX;LUXCoin;LUXCoin;;USD;crypto
;RISE;Rise;Rise;;USD;crypto
;XAS;Asch;Asch;;USD;crypto
;PPP;PayPie;PayPie;;USD;crypto
;DAPS;DAPS Coin;DAPS Coin;;USD;crypto
;WTT;Giga Watt Token;Giga Watt Token;;USD;crypto
;BITB;Bean Cash;Bean Cash;;USD;crypto
;PST;Primas;Primas;;USD;crypto
;BIS;Bismuth;Bismuth;;USD;crypto
;LNX;LNX Protocol;LNX Protocol;;USD;crypto
;MUE;MonetaryUnit;MonetaryUnit;;USD;crypto
;SS;Sharder;Sharder;;USD;crypto
;WCT;Waves Community Token;Waves Community Token;;USD;crypto
;ZER;Zero;Zero;;USD;crypto
;BTCP;Bitcoin Private;Bitcoin Private;;USD;crypto
;EOSDAC;eosDAC;eosDAC;;USD;crypto
;AVT;Aventus;Aventus;;USD;crypto
;TFL;TrueFlip;TrueFlip;;USD;crypto
;ATL;ATLANT;ATLANT;;USD;crypto
;FJC;FujiCoin;FujiCoin;;USD;crypto
;BBT;BitBoost;BitBoost;;USD;crypto
;BANCA;Banca;Banca;;USD;crypto
;REEC;Renewable Electronic Energy Coin;Renewable Electronic Energy Coin;;USD;crypto
;XAUR;Xaurum;Xaurum;;USD;crypto
;HDG;Hedge;Hedge;;USD;crypto
;COFI;CoinFi;CoinFi;;USD;crypto
;0xBTC;0xBitcoin;0xBitcoin;;USD;crypto
;CLOAK;CloakCoin;CloakCoin;;USD;crypto
;XBY;XTRABYTES;XTRABYTES;;USD;crypto
;EDC;EDC Blockchain;EDC Blockchain;;USD;crypto
;TZC;TrezarCoin;TrezarCoin;;USD;crypto
;CPS;Capricoin+;Capricoin+;;USD;crypto
;BBC;TraDove B2BCoin;TraDove B2BCoin;;USD;crypto
;HMQ;Humaniq;Humaniq;;USD;crypto
;BTO;Bottos;Bottos;;USD;crypto
;ART;Maecenas;Maecenas;;USD;crypto
;MER;Mercury;Mercury;;USD;crypto
;LUN;Lunyr;Lunyr;;USD;crypto
;MEC;Megacoin;Megacoin;;USD;crypto
;GEO;GeoCoin;GeoCoin;;USD;crypto
;FNKOS;FNKOS;FNKOS;;USD;crypto
;ADS;Adshares;Adshares;;USD;crypto
;REAL;REAL;REAL;;USD;crypto
;IXC;Ixcoin;Ixcoin;;USD;crypto
;ZRC;ZrCoin;ZrCoin;;USD;crypto
;CARBON;Carboncoin;Carboncoin;;USD;crypto
;TCC;The ChampCoin;The ChampCoin;;USD;crypto
;GPU;GPU Coin;GPU Coin;;USD;crypto
;DRG;Dragon Coins;Dragon Coins;;USD;crypto
;BSTY;GlobalBoost-Y;GlobalBoost-Y;;USD;crypto
;FUEL;Etherparty;Etherparty;;USD;crypto
;XBC;Bitcoin Plus;Bitcoin Plus;;USD;crypto
;PAK;Pakcoin;Pakcoin;;USD;crypto
;DRT;DomRaider;DomRaider;;USD;crypto
;TROLL;Trollcoin;Trollcoin;;USD;crypto
;FRC;Freicoin;Freicoin;;USD;crypto
;PND;Pandacoin;Pandacoin;;USD;crypto
;ADT;adToken;adToken;;USD;crypto
;BBR;Boolberry;Boolberry;;USD;crypto
;FLIXX;Flixxo;Flixxo;;USD;crypto
;DCT;DECENT;DECENT;;USD;crypto
;BBK;Brickblock;Brickblock;;USD;crypto
;PKT;Playkey;Playkey;;USD;crypto
;COSM;Cosmo Coin;Cosmo Coin;;USD;crypto
;LANA;LanaCoin;LanaCoin;;USD;crypto
;IXT;IXT;IXT;;USD;crypto
;BCA;Bitcoin Atom;Bitcoin Atom;;USD;crypto
;SHIP;ShipChain;ShipChain;;USD;crypto
;ERC;EuropeCoin;EuropeCoin;;USD;crypto
;STX;Stox;Stox;;USD;crypto
;BNTY;Bounty0x;Bounty0x;;USD;crypto
;DDD;Scry.info;Scry.info;;USD;crypto
